Convertir.cpp; 1; 4/5/2025 20:56:25
Convertir.exe; 57; 4/5/2025 20:57:30
Lista.h; 2; 4/5/2025 20:57:27
Pila.h; 1; 4/5/2025 20:41:49
prueba.cpp; 1; 4/5/2025 16:55:07
prueba.exe; 58; 4/5/2025 19:56:16
punto1.txt; 0; 4/5/2025 16:36:25
